CensusTract,ID,id,Total Population,California County,ZIP,"Nearby City 
(to help approximate location only)",Longitude,Latitude,CES_Score,CES_Percentile,"CES 3.0 
Percentile Range",SB 535 Disadvantaged Community,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6001409000,6001409000,6001409000,3552,Alameda ,94621,Oakland,-122.2213677,37.7200105,61.56,96.91,95-100% (highest scores),Yes,0.03,7.58,8.69794377,30.7,38.28,91.9,70.6,4.47,0,0,596.1677629,53.58,1419.88,81.2,63.15,97.45,118.5,97.88,2.7,93.94,15,95.64,11.45,91.39,57.41,7.07,87.57,147.84,98.54,6.15,79.11,11.34,85.11,28.3,74.58,18.3,81.43,52.5,76.22,13.3,77.4,32.5,91.84,83.94,8.71,96.28
6001409100,6001409100,6001409100,2255,Alameda ,94603,Oakland,-122.1834997,37.7323261,59.87,96.38,95-100% (highest scores),Yes,0.03,7.58,8.69794377,30.7,37.55,91.52,70.6,4.47,0,0,611.9293945,53.85,2145.76,92.27,45.7,95.38,25.1,77.38,0.335,70.77,11,89.54,6,78.52,54.14,6.67,82.07,189.95,99.71,8.03,96.64,14.44,96.88,40,86.79,7.7,49.7,55.8,79.92,12.6,73.59,29.5,86.89,86.56,8.98,97.67
6001408800,6001408800,6001408800,5547,Alameda ,94621,Oakland,-122.1969422,37.7588039,59.65,96.22,95-100% (highest scores),Yes,0.03,7.58,8.69794377,30.7,38.315,91.92,70.6,4.47,0,0,548.0919212,52.28,411.44,22.25,46.05,95.46,37.65,86.51,0.81,84.56,15,95.64,14,94.39,50.36,6.2,73.64,161.73,99.06,8.75,98.65,11.56,86.27,46.8,92.23,18.1,81.03,66.5,90.33,20.1,95.58,35.2,94.71,92.72,9.62,99.79
6001409200,6001409200,6001409200,3152,Alameda ,94603,Oakland,-122.1777872,37.7290846,55.29,93.48,90-95%,Yes,0.03,7.58,8.69794377,30.7,31.079,86.71,70.6,4.47,0,0,665.6941786,55.1,4291.67,99.72,57.6,96.83,28,80.02,0.545,78.31,11,89.54,5,73.54,54.96,6.77,83.62,106.59,93.9,8.38,97.91,8.79,60.73,30.5,77.04,11.1,62.9,44.4,66.22,13.4,77.88,27.4,82.67,78.76,8.17,91.39
6001407300,6001407300,6001407300,2598,Alameda ,94601,Oakland,-122.2109235,37.7621786,52.54,91.16,90-95%,Yes,0.03,7.58,8.69794377,30.7,38.354,91.94,70.6,4.47,0,0,364.462799,45.42,1406.6,80.84,79.45,98.6,183.05,99.19,0.86,85.15,16,97.26,30.5,99.48,56.83,7,86.62,99.49,92.69,5.92,74.79,7.73,47.2,38.1,85.19,19,82.6,56.3,80.5,9.6,52.82,21.4,64.81,72.37,7.51,83.21
6001409500,6001409500,6001409500,3122,Alameda ,94621,Oakland,-122.1837659,37.7504463,51.44,90.3,90-95%,Yes,0.03,7.58,8.69794377,30.7,35.085,89.73,70.6,4.47,0,0,532.0881749,51.76,346.51,16.07,25.85,88.11,40.85,88.1,3.56,95.16,1,15.26,12.5,92.74,44.37,5.46,57.01,161.73,99.06,7.93,96.32,11.56,86.27,42.9,89.47,21.2,86.15,64.2,88.41,17.3,91.1,27.6,83.12,90.77,9.41,99.42
6001406000,6001406000,6001406000,3450,Alameda ,94606,Oakland,-122.246184,37.7875675,50.28,89.13,85-90%,Yes,0.03,7.58,8.69794377,30.7,44.58,94.93,70.6,4.47,0,0,324.0618822,43.24,1732.58,87.3,67,97.77,144.8,98.71,3.15,94.66,17,97.72,0.45,12.5,52.3,6.44,77.98,93.8,90.84,5.92,74.79,6.98,36.94,32.1,78.88,42.3,98.71,61.9,86.12,10.8,61.91,31,89.4,75.26,7.81,87.41
6001402200,6001402200,6001402200,2385,Alameda ,94607,Oakland,-122.2963076,37.8063512,49.46,88.32,85-90%,Yes,0.03,7.58,8.69794377,30.7,76.11,98.92,70.6,4.47,0,0,325.5638061,43.3,769.38,54.93,174.3,99.91,137.25,98.54,2.875,94.29,10,85.78,11.75,91.7,54.2,6.68,82.22,165.52,99.26,6.27,81.49,6.44,29.7,19.1,60.18,9.3,56.37,56.8,81.09,13.8,79.45,29.3,86.52,71.44,7.41,81.74
6001409400,6001409400,6001409400,4306,Alameda ,94603,Oakland,-122.1803623,37.744613,49.22,88.02,85-90%,Yes,0.03,7.58,8.69794377,30.7,31.21,86.88,70.6,4.47,0,0,478.6011836,50.04,318.86,13.81,37.35,93.4,56.05,92.59,3.295,94.83,1,15.26,12.5,92.74,44.35,5.46,56.96,160.69,99.02,5.71,70.73,12.12,89.12,39.9,86.68,18.2,81.23,65.7,89.69,15.1,84.73,35.9,95.18,86.89,9.01,97.83
6001408900,6001408900,6001408900,3414,Alameda ,94621,Oakland,-122.1887803,37.7541816,47.97,86.68,85-90%,Yes,0.03,7.58,8.69794377,30.7,38.045,91.77,70.6,4.47,0,0,796.6019919,57.66,469.47,27.8,37,93.29,31.3,82.8,2.075,91.97,1,15.26,7,82.83,45.36,5.59,59.56,161.73,99.06,4.64,42.33,11.56,86.27,34.9,81.93,18,80.87,73.5,95.31,17.7,91.95,41.6,98.43,82.79,8.59,95.38
