CensusTract,ID,id,Total Population,California County,ZIP,"Nearby City 
(to help approximate location only)",Longitude,Latitude,CES_Score,CES_Percentile,"CES 3.0 
Percentile Range",SB 535 Disadvantaged Community,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6001409000,06001409000,06001409000,3552,Alameda ,94621,Oakland,-122.2213677,37.7200105,61.56,96.91,95-100% (highest scores),Yes,0.03,7.58,8.69794377,30.7,38.28,91.9,70.6,4.47,0,0,596.1677629,53.58,1419.88,81.2,63.15,97.45,118.5,97.88,2.7,93.94,15,95.64,11.45,91.39,57.41,7.07,87.57,147.84,98.54,6.15,79.11,11.34,85.11,28.3,74.58,18.3,81.43,52.5,76.22,13.3,77.4,32.5,91.84,83.94,8.71,96.28
6001409100,06001409100,06001409100,2255,Alameda ,94603,Oakland,-122.1834997,37.7323261,59.87,96.38,95-100% (highest scores),Yes,0.03,7.58,8.69794377,30.7,37.55,91.52,70.6,4.47,0,0,611.9293945,53.85,2145.76,92.27,45.7,95.38,25.1,77.38,0.335,70.77,11,89.54,6,78.52,54.14,6.67,82.07,189.95,99.71,8.03,96.64,14.44,96.88,40,86.79,7.7,49.7,55.8,79.92,12.6,73.59,29.5,86.89,86.56,8.98,97.67
6001408800,06001408800,06001408800,5547,Alameda ,94621,Oakland,-122.1969422,37.7588039,59.65,96.22,95-100% (highest scores),Yes,0.03,7.58,8.69794377,30.7,38.315,91.92,70.6,4.47,0,0,548.0919212,52.28,411.44,22.25,46.05,95.46,37.65,86.51,0.81,84.56,15,95.64,14,94.39,50.36,6.2,73.64,161.73,99.06,8.75,98.65,11.56,86.27,46.8,92.23,18.1,81.03,66.5,90.33,20.1,95.58,35.2,94.71,92.72,9.62,99.79
6013379000,06013379000,06013379000,6117,Contra Costa,94804,Richmond,-122.3567421,37.9283199,57.04,94.65,90-95%,Yes,0.03,7.58,8.69794377,30.7,47.223,95.27,70.6,4.47,0,0,1337.784503,63.11,424.6,23.31,78.1,98.49,67,94.42,2.195,92.47,10,85.78,10,89.46,52.08,6.42,77.35,160.81,99.03,7.74,95.48,10.73,80.99,35.1,82.12,13.2,69.96,50.9,74.22,16.4,88.68,27.7,83.28,85.74,8.89,97.25
6013312000,06013312000,06013312000,2292,Contra Costa,94565,Pittsburg,-121.8695963,38.0152346,56.88,94.55,90-95%,Yes,0.038,22.34,7.85958451,17.81,19.782,61.05,136.89,8.83,0,0,1099.019894,61.16,1192.72,75.08,26.5,88.58,38.3,86.83,4.575,96.11,12,91.47,7.45,83.68,53.23,6.56,80.21,150.18,98.83,6.09,78.06,14.45,97.03,29,75.47,12.6,68.07,61,85.25,16.4,88.68,20.8,62.43,83.64,8.67,96.01
6001409200,06001409200,06001409200,3152,Alameda ,94603,Oakland,-122.1777872,37.7290846,55.29,93.48,90-95%,Yes,0.03,7.58,8.69794377,30.7,31.079,86.71,70.6,4.47,0,0,665.6941786,55.1,4291.67,99.72,57.6,96.83,28,80.02,0.545,78.31,11,89.54,5,73.54,54.96,6.77,83.62,106.59,93.9,8.38,97.91,8.79,60.73,30.5,77.04,11.1,62.9,44.4,66.22,13.4,77.88,27.4,82.67,78.76,8.17,91.39
6013365002,06013365002,06013365002,5462,Contra Costa,94801,Richmond,-122.3843954,37.9594657,54,92.46,90-95%,Yes,0.03,7.58,7.85958451,17.81,29.382,84.33,70.6,4.47,0.22,26.9,952.4543027,59.7,302.07,12.28,110.4,99.38,45.25,89.59,14.6,99.83,12,91.47,18.2,96.77,52.1,6.42,77.39,195.32,99.81,5.19,57.61,10.48,78.22,32.2,79.02,18.2,81.23,60.1,84.5,16,87.69,29.2,86.28,81.14,8.42,93.87
6085503105,06085503105,06085503105,2484,Santa Clara,95122,San Jose,-121.858788,37.3262673,53.78,92.24,90-95%,Yes,0.038,22.34,10.37,52.61,34.565,89.48,479.23,51.02,0,0,194.9270403,35.33,1775.83,88.03,20.95,84.13,24.6,76.5,5.275,96.9,2,29.25,15.5,95.47,57.75,7.11,88.16,46.14,51.04,6.25,81.24,8.14,52.51,36.2,83.23,43.2,98.87,49.5,72.57,15.3,85.53,26.6,80.81,72.9,7.56,84.13
6013377000,06013377000,06013377000,6962,Contra Costa,94801,Richmond,-122.3629548,37.9337832,53.63,92.14,90-95%,Yes,0.03,7.58,8.27876414,20.16,45.335,95.08,70.6,4.47,0,0,1617.996373,65.28,231.8,7.33,57.2,96.77,42.45,88.66,3.58,95.18,11,89.54,5.5,75.64,48.76,6.01,69.15,201.52,99.83,6.7,87.44,10.62,79.43,39.4,86.35,25.2,90.57,56.9,81.22,14.4,82,24.9,76.43,86.11,8.93,97.43
6001407300,06001407300,06001407300,2598,Alameda ,94601,Oakland,-122.2109235,37.7621786,52.54,91.16,90-95%,Yes,0.03,7.58,8.69794377,30.7,38.354,91.94,70.6,4.47,0,0,364.462799,45.42,1406.6,80.84,79.45,98.6,183.05,99.19,0.86,85.15,16,97.26,30.5,99.48,56.83,7,86.62,99.49,92.69,5.92,74.79,7.73,47.2,38.1,85.19,19,82.6,56.3,80.5,9.6,52.82,21.4,64.81,72.37,7.51,83.21
