id,CES_Score
06001409000,61.56
06001409100,59.87
06001408800,59.65
06013379000,57.04
06013312000,56.88
06001409200,55.29
06013365002,54
06085503105,53.78
06013377000,53.63
06001407300,52.54
06075023103,51.58
06001409500,51.44
06075980600,50.95
06085512602,50.69
06075023200,50.36
06001406000,50.28
06013382000,50.24
06085500100,50.03
06013368002,49.85
06001402200,49.46
06001409400,49.22
06075017902,49.09
06013376000,48.86
06085504318,48.52
06013310000,48.52
06013311000,48.28
06075023400,48.25
06095250701,48.15
06081611900,48.11
06001408900,47.97
06001401800,47.54
06085512603,47.37
06001406100,47.31
06075023102,47.15
06085503601,47.09
06001401400,46.92
06085503122,46.69
06001403000,46.63
06013305000,46.53
06013380000,46.47
06013375000,46.26
06001401700,46.23
06085501600,45.89
06001432400,45.48
06085503110,45.22
06095250801,45.15
06001433200,44.9
06001409300,44.83
06001401500,44.68
06085504602,44.52
06085503214,44.5
06013366002,44.39
06001403300,44.37
06095250900,44.36
06075061200,44.19
06081612000,44.09
06001402500,43.96
06013368001,43.89
06001410500,43.75
06001432501,43.73
06085501102,43.54
06081602300,43.53
06013358000,43.46
06013381000,43.38
06001438203,43.22
06081610201,42.97
06085503602,42.87
06085501401,42.85
06075017801,42.84
06001402400,42.77
06085512310,42.75
06013314103,42.34
06013320001,42.22
06013314104,42.09
06001437101,42.05
06075012502,42
06001444601,41.99
06085503113,41.93
06075017601,41.93
06001401000,41.81
06001407200,41.76
06085503117,41.45
06013313102,41.39
06013309000,41.37
06081602100,41.37
06085501501,41.36
06001401600,41.35
06013313101,41.13
06001425104,40.94
06001407400,40.62
06085505202,40.6
06075023300,40.59
06001402700,40.23
06075012301,40.11
06013364002,40.04
06013392200,39.97
06095251802,39.96
06001422000,39.95
06013302005,39.94
06097153200,39.9
06001405401,39.68
06001440301,39.68
06001406201,39.64
06081604200,39.61
06095251901,39.57
06001437200,39.37
06081602200,39.27
06001428700,39.27
06085501502,39.06
06075023001,39.04
06013306002,39.04
06013314102,38.81
06085504319,38.76
06013315000,38.74
06085503112,38.66
06095253500,38.66
06095252402,38.53
06085501000,38.3
06001438100,38.23
06085503208,38.2
06001402800,38.17
06085512604,38.05
06055200301,38.02
06013369001,37.91
06055200503,37.66
06013366001,37.63
06001407500,37.59
06085503121,37.51
06085503710,37.44
06013327000,37.36
06001428000,37.26
06075012501,37.14
06013306004,37.02
06085502002,36.96
06013303103,36.82
06081600100,36.77
06001401300,36.69
06081601300,36.66
06097153104,36.66
06013355200,36.61
06001436200,36.58
06001406202,36.57
06001432600,36.4
06001423200,36.09
06097153002,36.07
06001436900,36.05
06001400700,35.87
06095251500,35.86
06075026403,35.84
06001433300,35.69
06081600200,35.67
06041112202,35.56
06085503217,35.54
06001425102,35.5
06075022802,35.35
06081610202,35.34
06075025702,35.25
06013307202,35.16
06081610500,35.14
06075023003,35.13
06013316000,35.06
06001402600,35
06075026401,34.98
06081611800,34.98
06075061400,34.96
06001405901,34.89
06013314200,34.87
06085503204,34.84
06001406500,34.76
06085503207,34.67
06001427200,34.67
06001444500,34.54
06085501700,34.5
06001405902,34.49
06013313206,34.4
06085503709,34.35
06085503712,34.31
06013302007,34.22
06095252606,34.21
06001400800,34.19
06085503401,34.17
06013307102,34.12
06001403100,34.09
06095251600,34.07
06075061000,34.05
06001400900,34.02
06085503210,33.97
06013307201,33.85
06085505100,33.8
06001427600,33.77
06001427300,33.76
06013302006,33.72
06013367200,33.69
06095251100,33.65
06001437102,33.6
06013373000,33.6
06001437300,33.48
06001436300,33.48
06001405302,33.44
06075026402,33.44
06001436500,33.42
06001410100,33.38
06081602400,33.35
06013378000,33.33
06095251200,33.32
06001438204,33.11
06095251902,33.11
06081604101,33.1
06001435104,33
06055200203,32.99
06013371000,32.99
06001407102,32.93
06001442800,32.92
06085501200,32.86
06075017802,32.78
06095252605,32.69
06085503402,32.67
06085503306,32.6
06095251000,32.59
06001409600,32.46
06081610302,32.43
06075026404,32.41
06075017700,32.31
06085501402,32.31
06001436800,32.26
06075020100,32.21
06001432502,32.21
06055200202,32.13
06001437000,32.09
06097153003,32.03
06001433900,32.01
06085503510,32.01
06001433700,31.9
06075018000,31.82
06081610400,31.8
06075012401,31.75
06013359103,31.68
06085503218,31.64
06095252604,31.61
06085500800,31.6
06085503305,31.56
06001432300,31.5
06097153102,31.47
06085503123,31.45
06013308001,31.43
06081606200,31.42
06001433400,31.31
06013313204,31.3
06001434000,31.24
06097153300,31.21
06001431000,31.18
06095252401,31.16
06095252502,31.12
06085505009,31.1
06001435400,31.1
06085503213,31.05
06001438400,31
06095252904,30.95
06013307205,30.81
06001433103,30.78
06095250601,30.74
06001408700,30.69
06001425101,30.63
06085503212,30.63
06085512506,30.6
06081612100,30.58
06001424002,30.55
06001405700,30.46
06095252608,30.41
06001437400,30.4
06001407600,30.39
06085503711,30.35
06085500902,30.33
06001406400,30.26
06085502102,30.26
06001435500,30.23
06085501101,30.21
06001405402,30.09
06013367100,30.04
06013301000,30.02
06085512508,30
06001403400,29.99
06085508900,29.99
06001442500,29.98
06013320004,29.96
06001435700,29.93
06095251803,29.92
06085500300,29.92
06013365003,29.9
06013306003,29.86
06085503304,29.84
06001433000,29.76
06001435601,29.72
06001444302,29.64
06085504418,29.63
06001422100,29.54
06013329000,29.52
06001401100,29.5
06095253300,29.45
06001436602,29.34
06001410300,29.28
06081600600,29.23
06095252702,29.12
06081600800,29.09
06095252501,29.09
06075025800,29.06
06085512017,29.01
06085503337,28.98
06085503111,28.82
06075012402,28.81
06095252102,28.78
06095252317,28.68
06075980501,28.51
06001440333,28.5
06013336101,28.46
06085504410,28.43
06001437600,28.39
06085504001,28.36
06001438300,28.34
06081601601,28.24
06085512401,28.24
06001433102,28.21
06001433600,28.2
06075011700,28.18
06085503703,28.18
06085504802,28.16
06001437500,28.15
06097151402,28.07
06085500901,28.03
06085503508,27.98
06001438201,27.89
06081610203,27.86
06013304002,27.82
06085505203,27.78
06097151401,27.77
06001423100,27.74
06001440308,27.73
06001440307,27.71
06095251400,27.62
06001443002,27.61
06001406300,27.59
06013374000,27.58
06085503118,27.56
06001444602,27.55
06075061100,27.49
06097152802,27.48
06081602000,27.47
06001433800,27.43
06001409800,27.38
06001436601,27.36
06001405500,27.34
06001433104,27.27
06001407000,27.21
06001407101,27.18
06055200201,27.14
06001408600,26.98
06001422200,26.97
06013383000,26.91
06095252607,26.9
06041112201,26.9
06081601200,26.88
06013328000,26.85
06085503707,26.81
06097153808,26.8
06081604102,26.74
06085503708,26.7
06001410200,26.66
06001440200,26.65
06001402900,26.65
06095253402,26.63
06085502001,26.62
06013372000,26.62
06001440331,26.57
06001436700,26.56
06013302008,26.54
06085504322,26.52
06085512402,26.5
06001437701,26.5
06085508800,26.44
06081607400,26.41
06085509000,26.4
06085500200,26.39
06095252611,26.36
06075012302,26.28
06001410400,26.25
06001451501,26.2
06085505006,26.13
06085504805,26.11
06013336201,26.05
06055200804,26.04
06085503504,26.02
06001441700,25.97
06095251701,25.95
06085504601,25.94
06085505301,25.94
06013386000,25.9
06001408500,25.89
06001406601,25.88
06097150901,25.85
06097153001,25.84
06085504002,25.83
06013313103,25.81
06085512100,25.75
06013356001,25.74
06097152100,25.69
06075012202,25.67
06013336102,25.64
06075010700,25.63
06097153005,25.58
06085501900,25.53
06081601400,25.52
06085503713,25.51
06001428100,25.47
06095253101,25.44
06001405600,25.43
06001425103,25.42
06001430500,25.39
06001430900,25.35
06081610601,25.33
06013321200,25.15
06013303205,25.14
06095253107,25.13
06001428400,25.13
06075025100,25.07
06095252707,25.01
06001403501,24.96
06081606000,24.95
06001441926,24.93
06085512509,24.91
06085506402,24.91
06013303201,24.84
06085504317,24.84
06085512038,24.81
06081604400,24.72
06075016100,24.64
06081607701,24.62
06001441602,24.61
06001435602,24.55
06001406602,24.52
06001408300,24.52
06075025701,24.45
06001423300,24.35
06085504803,24.34
06095250400,24.29
06013355107,24.28
06085504506,24.26
06013359102,24.24
06013360101,24.24
06041112100,24.23
06085504311,24.21
06075011300,24.21
06001405800,24.2
06001435800,24.17
06001437702,24.16
06001423400,24.14
06085504700,24.05
06095252314,24.04
06085504504,24.01
06081601502,24
06095253204,24
06001409900,23.99
06085504101,23.98
06075060502,23.94
06013303204,23.91
06075020800,23.9
06097154201,23.86
06085505303,23.83
06085503211,23.82
06001405301,23.8
06075012201,23.78
06097151201,23.74
06085503336,23.73
06013303102,23.72
06075022903,23.7
06075020900,23.68
06085503506,23.65
06097152702,23.63
06085504507,23.61
06095250300,23.61
06075022801,23.59
06013303203,23.56
06001442700,23.54
06001420400,23.52
06097153902,23.51
06001436100,23.5
06001440336,23.49
06001432700,23.47
06097152000,23.41
06075016802,23.4
06095253205,23.4
06085512311,23.4
06001410000,23.39
06013336202,23.39
06001442900,23.38
06075020200,23.34
06055201003,23.34
06085506301,23.34
06001451506,23.33
06001440335,23.31
06085504422,23.26
06075031201,23.24
06075026100,23.19
06085505001,23.15
06095250103,23.15
06081611700,23.14
06095253404,23.14
06085506501,23.13
06013307204,23.11
06097152801,23.05
06075015801,23.04
06013304001,22.99
06095253108,22.96
06097153006,22.95
06085512043,22.91
06001443001,22.88
06085503507,22.86
06001435900,22.85
06001444100,22.84
06055200501,22.8
06081606100,22.79
06085509304,22.76
06095252903,22.74
06075012100,22.73
06081610100,22.71
06081600900,22.62
06085509108,22.54
06001451401,22.49
06075022901,22.42
06097150601,22.4
06001431200,22.39
06001422900,22.38
06085502101,22.3
06013313203,22.29
06001440334,22.28
06085512026,22.25
06097153103,22.24
06085501300,22.23
06095252610,22.23
06075012000,22.21
06075010600,22.17
06001442302,22.17
06081610700,22.11
06085503327,22.09
06095252704,22.04
06085505007,22.03
06095252316,21.96
06001437800,21.94
06085512027,21.94
06081613501,21.85
06085506401,21.83
06001405200,21.82
06097150611,21.75
06081600700,21.74
06001437900,21.67
06095251300,21.64
06081607600,21.63
06001444400,21.63
06085500400,21.62
06013317000,21.61
06085504414,21.55
06085505600,21.5
06081606300,21.5
06095252305,21.45
06001441503,21.44
06075031400,21.4
06085503902,21.38
06075033201,21.38
06001436401,21.34
06001440306,21.27
06013387000,21.26
06001451101,21.24
06013318000,21.23
06001435300,21.23
06001432200,21.2
06085501800,21.19
06013313205,21.18
06013302009,21.17
06097150603,21.17
06055201005,21.14
06085502910,21.12
06075022803,21.11
06095250502,21.09
06075033204,21.06
06013339002,21.06
06085512308,21.06
06097151900,20.97
06001408400,20.97
06085503804,20.94
06001428500,20.93
06095250604,20.93
06085509202,20.92
06097151305,20.88
06085508601,20.88
06097152903,20.88
06001409700,20.87
06081610800,20.86
06075025900,20.82
06085508004,20.82
06013308002,20.81
06085512309,20.78
06075025500,20.77
06097150612,20.75
06013319000,20.73
06081601501,20.73
06085504412,20.7
06095252703,20.67
06001442400,20.65
06095253105,20.64
06085504505,20.63
06085504323,20.6
06085506304,20.57
06085506203,20.55
06081607702,20.52
06085504421,20.5
06001441524,20.48
06041105000,20.39
06085512025,20.37
06095250605,20.36
06001441923,20.34
06097150701,20.34
06095252202,20.33
06001427900,20.27
06055201601,20.26
06055200601,20.25
06001442602,20.17
06075011100,20.15
06001450400,20.15
06081600500,20.14
06075031202,20.13
06055200302,20.12
06041129000,20.09
06095252104,20.02
06095252909,20.02
06081609100,20.02
06075010800,20.01
06013392300,19.9
06085509201,19.89
06085504102,19.88
06095251702,19.87
06085503315,19.86
06081613800,19.82
06085505900,19.81
06001440304,19.81
06001451404,19.77
06085508704,19.76
06055200802,19.75
06001440100,19.73
06001424001,19.71
06097154000,19.71
06097153801,19.67
06013370000,19.67
06095250200,19.66
06001430800,19.62
06081607500,19.61
06001441601,19.56
06001427700,19.56
06085503108,19.56
06075016200,19.56
06095251903,19.54
06085504411,19.5
06013302010,19.49
06013359203,19.47
06085504806,19.46
06013331000,19.41
06001451504,19.39
06001450603,19.38
06001450602,19.37
06085504413,19.36
06085508504,19.35
06075025403,19.33
06085505700,19.24
06095252706,19.24
06095252312,19.21
06075011800,19.2
06085505305,19.19
06001450101,19.17
06001403600,19.15
06001431100,19.14
06095252313,19.13
06001423000,19.13
06097153901,19.08
06001435200,19.04
06001436000,19.02
06085512032,19.01
06001450743,19.01
06085505304,19
06075016000,18.99
06085512022,18.91
06081601605,18.91
06095252911,18.91
06097151308,18.91
06013330000,18.87
06085500600,18.84
06085506305,18.81
06075015900,18.8
06081610900,18.79
06085509404,18.74
06001441927,18.7
06085512505,18.68
06013303202,18.67
06013363000,18.65
06075031302,18.64
06001433500,18.59
06075010100,18.57
06055201006,18.55
06001400500,18.55
06081601100,18.53
06075026004,18.51
06085500500,18.46
06075010300,18.46
06041106001,18.43
06085512020,18.39
06075060700,18.37
06013359104,18.35
06085509107,18.32
06085504320,18.32
06001441301,18.3
06085503509,18.29
06081601902,18.28
06001400600,18.28
06085511911,18.22
06001451202,18.15
06085505401,18.15
06001444200,18.1
06055201200,18.08
06085512510,18.07
06055200704,18.06
06013389200,18.06
06085512314,18.05
06001401200,18.03
06085503511,18.03
06085503116,17.97
06097150609,17.92
06081601700,17.88
06085512053,17.8
06075026200,17.79
06001443301,17.76
06097151000,17.76
06085512039,17.76
06085503803,17.73
06081601000,17.73
06001432100,17.7
06085513500,17.69
06085512042,17.66
06001404900,17.66
06081601901,17.65
06085505302,17.65
06041104200,17.65
06085503903,17.63
06001441800,17.6
06013357000,17.6
06075025200,17.58
06097150305,17.56
06013339001,17.52
06085504316,17.5
06013337200,17.49
06013333200,17.49
06097151204,17.49
